Date,BHARTIARTL.NS,HDFCBANK.NS,HINDUNILVR.NS,ICICIBANK.NS,INFY.NS,ITC.NS,M&M.NS,RELIANCE.NS,SUNPHARMA.NS,TCS.NS,^NSEI
2024-04-02,1191.5924072265625,708.6472778320312,2175.88232421875,1063.763427734375,1366.5103759765625,371.1084289550781,1921.8316650390625,1469.2320556640625,1587.6591796875,3573.948486328125,22453.30078125
2024-04-03,1208.8017578125,709.6766357421875,2155.423828125,1059.8280029296875,1364.4830322265625,370.5419616699219,1938.7408447265625,1454.0650634765625,1585.3104248046875,3632.382568359375,22434.650390625
2024-04-04,1190.211669921875,731.36474609375,2155.18603515625,1061.451416015625,1370.058349609375,368.40692138671875,1951.80029296875,1445.493408203125,1584.821044921875,3683.914306640625,22514.650390625
2024-04-05,1174.5802001953125,741.8737182617188,2157.08935546875,1065.9281005859375,1363.054443359375,372.5898742675781,1962.1309814453125,1442.7020263671875,1574.6917724609375,3661.783447265625,22513.69921875
2024-04-08,1188.09130859375,740.4613647460938,2158.9921875,1069.6175537109375,1360.8427734375,373.9406433105469,2025.2840576171875,1468.2686767578125,1565.5899658203125,3655.617919921875,22666.30078125
2024-04-09,1187.8447265625,741.3949584960938,2154.4248046875,1089.19677734375,1377.5687255859375,371.5441589355469,2037.75830078125,1446.2098388671875,1568.37939453125,3631.692138671875,22642.75
2024-04-10,1212.4508056640625,735.5540161132812,2151.332275390625,1091.5087890625,1388.5814208984375,380.78155517578125,2023.4322509765625,1461.945068359375,1569.847412109375,3666.752685546875,22753.80078125
2024-04-12,1208.6539306640625,727.223388671875,2124.118408203125,1086.5894775390625,1368.26123046875,374.8121032714844,2018.3157958984375,1449.6680908203125,1507.1630859375,3682.166015625,22519.400390625
2024-04-15,1207.667724609375,715.61328125,2087.721923828125,1060.95947265625,1352.9637451171875,371.1519775390625,2001.2603759765625,1447.3707275390625,1507.212158203125,3626.768798828125,22272.5
2024-04-16,1199.6793212890625,722.5794067382812,2113.17578125,1049.8416748046875,1303.476806640625,371.1519775390625,1979.6734619140625,1448.2847900390625,1504.765380859375,3563.826171875,22147.900390625
2024-04-18,1248.2996826171875,715.61328125,2107.46630859375,1038.4287109375,1307.9000244140625,365.00823974609375,1973.4847412109375,1446.876708984375,1484.0662841796875,3553.8876953125,21995.849609375
2024-04-19,1271.2291259765625,733.13623046875,2123.452392578125,1050.0384521484375,1300.52783203125,370.14984130859375,2029.9619140625,1452.607666015625,1490.329833984375,3520.944091796875,22147.0
2024-04-22,1279.6612548828125,723.99169921875,2132.872314453125,1069.1256103515625,1320.3409423828125,370.629150390625,2037.5147705078125,1462.2166748046875,1507.260986328125,3556.2802734375,22336.400390625
